npi,last_name,first_name,middle_name,credential,sole_proprietor,matched_term,primary_taxonomy,taxonomy_code,all_taxonomies,license,license_state,org_name,address_1,address_2,city,state,postal_code,phone,fax,location_kind,enumeration_date,last_updated,status,address_shared_by,source_url
1881245710,"3 Days Rising, Inc.",,,,,,"Clinic/Center, Rehabilitation, Substance Use Disorder",261QR0405X,"Clinic/Center, Rehabilitation, Substance Use Disorder; Counselor, Addiction (Substance Use Disorder)",,,"3 DAYS RISING, INC.",720 MAGNOLIA RD STE 20,,Charleston,SC,29407,843-300-5272,,primary_practice,2019-09-23,2019-09-23,A,1,https://npiregistry.cms.hhs.gov/provider-view/1881245710
1285022749,"3-Points Coastal Care,Llc",,,,,,Community/Behavioral Health,251S00000X,Community/Behavioral Health,,,"3-POINTS COASTAL CARE,LLC",1300 WEST MAIN ST,,Bennettsville,SC,29512,910-331-2520,,primary_practice,2015-01-06,2015-01-06,A,1,https://npiregistry.cms.hhs.gov/provider-view/1285022749
1962881268,360 Health Care,,,,,,"Clinic/Center, Medical Specialty",261QM2500X,"Clinic/Center, Medical Specialty; Clinic/Center, Multi-Specialty",MD18446,SC,360 HEALTH CARE,4810 N KINGS HWY,,Myrtle Beach,SC,29577,843-692-9243,,primary_practice,2015-05-20,2015-05-20,A,2,https://npiregistry.cms.hhs.gov/provider-view/1962881268
1538568340,360 Medical,,,,,,Durable Medical Equipment & Medical Supplies,332B00000X,Durable Medical Equipment & Medical Supplies; Prosthetic/Orthotic Supplier,,,360 MEDICAL,1011 LAKE HUNTER CIR,SUITE 105,Mount Pleasant,SC,29464,843-606-3500,843-737-8190,primary_practice,2014-08-18,2016-11-08,A,1,https://npiregistry.cms.hhs.gov/provider-view/1538568340
1306026471,3Di Diagnostic Oral Facial Imaging,,,,,,Dental Laboratory,292200000X,Dental Laboratory,,,3DI DIAGNOSTIC ORAL FACIAL IMAGING,1203 TWO ISLAND CT,SUITE 103B,Mt Pleasant,SC,29466,843-849-7929,843-849-7117,primary_practice,2007-11-06,2007-11-06,A,2,https://npiregistry.cms.hhs.gov/provider-view/1306026471
1881313518,"4 Level Therapy, Pllc",,,,,,"Social Worker, Clinical",1041C0700X,"Social Worker, Clinical",,,"4 LEVEL THERAPY, PLLC",2819 WRIGHTSVILLE AVE,,Wilmington,NC,28403,609-433-0201,,primary_practice,2022-08-25,2022-08-26,A,1,https://npiregistry.cms.hhs.gov/provider-view/1881313518
1699596346,400 Moffat Opco Llc,,,,,,Skilled Nursing Facility,314000000X,Skilled Nursing Facility,,,400 MOFFAT OPCO LLC,400 MOFFAT ROAD,,Cheraw,SC,29520,843-310-3131,,primary_practice,2024-10-24,2024-10-24,A,2,https://npiregistry.cms.hhs.gov/provider-view/1699596346
1306808480,"4M Medical Services, Inc.",,,,,,Durable Medical Equipment & Medical Supplies,332B00000X,Durable Medical Equipment & Medical Supplies,,,"4M MEDICAL SERVICES, INC.",3109 CLAUSSEN RD,,Florence,SC,29505,843-669-6073,843-669-6028,primary_practice,2006-04-05,2008-05-20,A,1,https://npiregistry.cms.hhs.gov/provider-view/1306808480
1659991990,4Ourboys Llc,,,,,,"Ambulance, Land Transport",3416L0300X,"Ambulance, Land Transport",,,4OURBOYS LLC,1643 HIGHWAY 544,,Conway,SC,29526,843-347-2928,,primary_practice,2020-04-16,2020-04-16,A,1,https://npiregistry.cms.hhs.gov/provider-view/1659991990
1114582947,"4Th Trimester, Llc",,,,,,"Clinic/Center, Physical Therapy",261QP2000X,"Clinic/Center, Physical Therapy",,,"4TH TRIMESTER, LLC",6 DANIEL ST,,Charleston,SC,29407,843-410-8113,,other_practice,2019-05-07,2019-05-07,A,1,https://npiregistry.cms.hhs.gov/provider-view/1114582947
1114582947,"4Th Trimester, Llc",,,,,,"Clinic/Center, Physical Therapy",261QP2000X,"Clinic/Center, Physical Therapy",,,"4TH TRIMESTER, LLC",725 COLEMAN BLVD APT 116,,Mount Pleasant,SC,29464,843-410-8113,,primary_practice,2019-05-07,2019-05-07,A,1,https://npiregistry.cms.hhs.gov/provider-view/1114582947
1144993221,"4U Services, Llc",,,,,,"Durable Medical Equipment & Medical Supplies, Customized Equipment",332BC3200X,"Durable Medical Equipment & Medical Supplies, Customized Equipment",,,"4U SERVICES, LLC",1512 W EVANS ST,,Florence,SC,29501,843-758-0085,,primary_practice,2021-07-26,2021-07-26,A,1,https://npiregistry.cms.hhs.gov/provider-view/1144993221
1740705649,5 Star Home Care Inc,,,,,,In Home Supportive Care,253Z00000X,Home Health; In Home Supportive Care,,,5 STAR HOME CARE INC,4703 HIGHWAY 17 BYP S,,Myrtle Beach,SC,29577,843-633-3333,843-294-0140,primary_practice,2017-08-11,2023-04-26,A,1,https://npiregistry.cms.hhs.gov/provider-view/1740705649
1508846593,501 Family Medical Center Llc,,,,,,Family Medicine,207Q00000X,Family Medicine,24043,SC,501 FAMILY MEDICAL CENTER LLC,1752 HIGHWAY 501,,Myrtle Beach,SC,29577,843-448-3050,843-448-5934,primary_practice,2006-01-18,2015-06-05,A,1,https://npiregistry.cms.hhs.gov/provider-view/1508846593
1609698042,515 Warley Opco Llc,,,,,,Skilled Nursing Facility,314000000X,Skilled Nursing Facility,,,515 WARLEY OPCO LLC,515 WARLEY ST,,Florence,SC,29501,834-310-3131,,primary_practice,2024-10-28,2024-10-28,A,1,https://npiregistry.cms.hhs.gov/provider-view/1609698042
1114905775,628Th Medgrp-Charleston,,,,,,"Clinic/Center, MilitaryU.S. Coast Guard Outpatient",261QM1100X,"Clinic/Center, Military and U.S. Coast Guard Ambulatory Procedure; Clinic/Center, MilitaryU.S. Coast Guard Outpatient; MilitaryU.S. Coast Guard Pharmacy",,,628TH MEDGRP-CHARLESTON,204 W HILL BLVD,BLDG 364,Charleston Afb,SC,29404,843-963-6884,843-963-6538,primary_practice,2006-01-04,2025-06-17,A,1,https://npiregistry.cms.hhs.gov/provider-view/1114905775
1114332368,628Th Medgrp-Charleston,,,,,,MilitaryU.S. Coast Guard Pharmacy,332000000X,MilitaryU.S. Coast Guard Pharmacy,,,628TH MEDGRP-CHARLESTON,204 W HILL BLVD BLDG 364,,Charleston Afb,SC,29404,843-963-6805,843-963-6727,primary_practice,2014-06-26,2025-05-30,A,1,https://npiregistry.cms.hhs.gov/provider-view/1114332368
1275308959,630 Carolina Bay Opco Llc,,,,,,Skilled Nursing Facility,314000000X,Skilled Nursing Facility,,,630 CAROLINA BAY OPCO LLC,740 DIAMOND SHOALS RD,,Wilmington,NC,28403,910-769-7500,,primary_practice,2023-11-22,2023-11-22,A,2,https://npiregistry.cms.hhs.gov/provider-view/1275308959
1386352342,633 Physical Therapy Llc,,,,,,"Physical Therapist, Orthopedic",2251X0800X,"Physical Therapist, Orthopedic",,,633 PHYSICAL THERAPY LLC,1051 JOHNNIE DODDS BLVD STE E,,Mount Pleasant,SC,29464,843-633-1205,,primary_practice,2022-11-09,2024-04-27,A,1,https://npiregistry.cms.hhs.gov/provider-view/1386352342
1043872187,7 Dimensions Of Health,,,,,,Community/Behavioral Health,251S00000X,"Clinic/Center, Adolescent and Children Mental Health; Clinic/Center, Student Health; Community/Behavioral Health; Counselor; Counselor, Pastoral; Counselor, Professional; Counselor, School",,,7 DIMENSIONS OF HEALTH,500 S KAMINSKI ST,,Georgetown,SC,29440,843-932-7217,,primary_practice,2019-06-28,2019-06-28,A,1,https://npiregistry.cms.hhs.gov/provider-view/1043872187
1114548005,776 Saint Andrews Blvd Dental Office Llc,,,,,,Dentist,122300000X,Dentist,,,776 SAINT ANDREWS BLVD DENTAL OFFICE LLC,776 SAINT ANDREWS BLVD,,Charleston,SC,29407,843-769-4600,,primary_practice,2020-05-01,2023-05-15,A,1,https://npiregistry.cms.hhs.gov/provider-view/1114548005
1619781309,8Th State Rehab & Wellness,,,,,,Physical Therapist,225100000X,Physical Therapist,,,8TH STATE REHAB & WELLNESS,1559 SAM RITTENBERG BLVD,,Charleston,SC,29407,843-353-0888,843-954-0888,primary_practice,2025-02-04,2026-06-03,A,1,https://npiregistry.cms.hhs.gov/provider-view/1619781309
1255043766,910 Chiropractic Pc,,,,,,Chiropractor,111N00000X,Chiropractor,,,910 CHIROPRACTIC PC,108 CHARLIE MEDLIN DR STE E,,Surf City,NC,28445,910-702-4476,,primary_practice,2022-12-15,2022-12-27,A,1,https://npiregistry.cms.hhs.gov/provider-view/1255043766
1336989938,988 South Carolina,,,,,,"Counselor, Mental Health",101YM0800X,"Counselor, Mental Health",,,988 SOUTH CAROLINA,2100 CHARLIE HALL BLVD,,Charleston,SC,29414,843-852-4100,,primary_practice,2024-05-30,2024-05-30,A,1,https://npiregistry.cms.hhs.gov/provider-view/1336989938
1083440812,"99One Healthcare, Llc",,,,,,Home Health,251E00000X,Home Health; In Home Supportive Care,,,"99ONE HEALTHCARE, LLC",474 WANDO PARK BLVD STE 106A,,Mount Pleasant,SC,29464,843-300-3008,843-614-8406,primary_practice,2024-09-09,2026-08-01,A,1,https://npiregistry.cms.hhs.gov/provider-view/1083440812
1205694718,A & M Care Llc,,,,,,Home Health,251E00000X,Home Health,,,A & M CARE LLC,462 EGYPT RD,,Mt Pleasant,SC,29464,843-708-9844,,primary_practice,2024-03-08,2024-03-08,A,1,https://npiregistry.cms.hhs.gov/provider-view/1205694718
1811159734,A A Rashford M.D. P . A.,,,,,,Internal Medicine,207R00000X,Internal Medicine,086454,SC,A A RASHFORD M.D. P . A.,2 RACE ST,,Charleston,SC,29403,843-722-2107,843-722-6409,primary_practice,2008-07-01,2008-10-16,A,1,https://npiregistry.cms.hhs.gov/provider-view/1811159734
1366258956,"A And S Drug Company, Llc",,,,,,"Pharmacy, Community/Retail Pharmacy",3336C0003X,"Pharmacy; Pharmacy, Community/Retail Pharmacy",,,"A AND S DRUG COMPANY, LLC",801 S MADISON ST,,Whiteville,NC,28472,910-642-4188,910-642-9003,primary_practice,2024-12-09,2024-12-09,A,1,https://npiregistry.cms.hhs.gov/provider-view/1366258956
1851813158,A Better Choice Case Management Llc,,,,,,Case Management,251B00000X,Case Management; Case Manager/Care Coordinator,,,A BETTER CHOICE CASE MANAGEMENT LLC,9412 HIGHWAY 17 BYP UNIT D,,Murrells Inlet,SC,29576,843-987-0338,833-790-2161,primary_practice,2017-07-09,2026-03-29,A,1,https://npiregistry.cms.hhs.gov/provider-view/1851813158
1356723449,A Better Choice Home Care,,,,,,In Home Supportive Care,253Z00000X,In Home Supportive Care,IHCP-0061,SC,A BETTER CHOICE HOME CARE,1514 MATHIS FERRY RD,SUITE 204,Mount Pleasant,SC,29464,843-405-3918,,primary_practice,2015-06-24,2015-06-24,A,1,https://npiregistry.cms.hhs.gov/provider-view/1356723449
1639573645,"A Better Choice, Llc",,,,,,"Counselor, Mental Health",101YM0800X,"Counselor, Mental Health",,,"A BETTER CHOICE, LLC",8621 SANDY PLAINS DR,,Riverview,FL,33578,813-368-0673,,primary_practice,2014-10-20,2014-10-20,A,1,https://npiregistry.cms.hhs.gov/provider-view/1639573645
1184581266,A Better You Coaching And Counseling Services,,,,,,"Clinic/Center, Adult Mental Health",261QM0850X,"Clinic/Center, Adult Mental Health",,,A BETTER YOU COACHING AND COUNSELING SERVICES,704 CASHUA ST,,Darlington,SC,29532,980-292-5565,,primary_practice,2026-01-08,2026-01-08,A,2,https://npiregistry.cms.hhs.gov/provider-view/1184581266
1619677846,A Better You Coaching And Counseling Services,,,,,,"Social Worker, Clinical",1041C0700X,"Social Worker, Clinical",,,A BETTER YOU COACHING AND COUNSELING SERVICES,704 CASHUA ST,,Darlington,SC,29532,843-615-5570,,primary_practice,2023-03-07,2023-03-07,A,2,https://npiregistry.cms.hhs.gov/provider-view/1619677846
1669116901,"A Brighter Day Home Care Agency,Llc",,,,,,In Home Supportive Care,253Z00000X,In Home Supportive Care,,,"A BRIGHTER DAY HOME CARE AGENCY,LLC",1005 SHALLOWFORD DR,,Wilmington,NC,28412,910-547-1148,,primary_practice,2022-04-22,2022-04-22,A,1,https://npiregistry.cms.hhs.gov/provider-view/1669116901
1447300058,"A Caring Heart Case Management, Inc.",,,,,,"Day Training, Developmentally Disabled Services",251C00000X,"Case Management; Community/Behavioral Health; Day Training, Developmentally Disabled Services; Social Worker, Clinical",,,"A CARING HEART CASE MANAGEMENT, INC.",1101 PARKWAY DR,,Goldsboro,NC,27534,919-587-0189,919-587-0194,other_practice,2007-01-12,2025-09-17,A,2,https://npiregistry.cms.hhs.gov/provider-view/1447300058
1265240741,"A Caring Heart Case Management, Inc.",,,,,,"Social Worker, Clinical",1041C0700X,"Social Worker, Clinical",,,"A CARING HEART CASE MANAGEMENT, INC.",1101 PARKWAY DR,,Goldsboro,NC,27534,919-587-0189,919-587-0194,other_practice,2024-12-30,2024-12-30,A,2,https://npiregistry.cms.hhs.gov/provider-view/1265240741
1447300058,"A Caring Heart Case Management, Inc.",,,,,,"Day Training, Developmentally Disabled Services",251C00000X,"Case Management; Community/Behavioral Health; Day Training, Developmentally Disabled Services; Social Worker, Clinical",,,"A CARING HEART CASE MANAGEMENT, INC.",18 NOBLE ST,,Smithfield,NC,27577,919-938-9484,919-938-9527,other_practice,2007-01-12,2025-09-17,A,2,https://npiregistry.cms.hhs.gov/provider-view/1447300058
1265240741,"A Caring Heart Case Management, Inc.",,,,,,"Social Worker, Clinical",1041C0700X,"Social Worker, Clinical",,,"A CARING HEART CASE MANAGEMENT, INC.",18 NOBLE ST,,Smithfield,NC,27577,919-938-9484,919-938-9527,other_practice,2024-12-30,2024-12-30,A,2,https://npiregistry.cms.hhs.gov/provider-view/1265240741
1447300058,"A Caring Heart Case Management, Inc.",,,,,,"Day Training, Developmentally Disabled Services",251C00000X,"Case Management; Community/Behavioral Health; Day Training, Developmentally Disabled Services; Social Worker, Clinical",,,"A CARING HEART CASE MANAGEMENT, INC.",112 ZEBULON CT,,Rocky Mount,NC,27804,252-316-8221,252-316-8225,other_practice,2007-01-12,2025-09-17,A,2,https://npiregistry.cms.hhs.gov/provider-view/1447300058
1265240741,"A Caring Heart Case Management, Inc.",,,,,,"Social Worker, Clinical",1041C0700X,"Social Worker, Clinical",,,"A CARING HEART CASE MANAGEMENT, INC.",112 ZEBULON CT,,Rocky Mount,NC,27804,252-316-8221,252-316-8225,other_practice,2024-12-30,2024-12-30,A,2,https://npiregistry.cms.hhs.gov/provider-view/1265240741
1447300058,"A Caring Heart Case Management, Inc.",,,,,,"Day Training, Developmentally Disabled Services",251C00000X,"Case Management; Community/Behavioral Health; Day Training, Developmentally Disabled Services; Social Worker, Clinical",,,"A CARING HEART CASE MANAGEMENT, INC.",1901 TARBORO ST SW STE 102,,Wilson,NC,27893,252-206-1266,252-206-1268,primary_practice,2007-01-12,2025-09-17,A,2,https://npiregistry.cms.hhs.gov/provider-view/1447300058
1265240741,"A Caring Heart Case Management, Inc.",,,,,,"Social Worker, Clinical",1041C0700X,"Social Worker, Clinical",,,"A CARING HEART CASE MANAGEMENT, INC.",1901 TARBORO ST SW STE 102,,Wilson,NC,27893,252-206-1266,252-206-1268,primary_practice,2024-12-30,2024-12-30,A,2,https://npiregistry.cms.hhs.gov/provider-view/1265240741
1447300058,"A Caring Heart Case Management, Inc.",,,,,,"Day Training, Developmentally Disabled Services",251C00000X,"Case Management; Community/Behavioral Health; Day Training, Developmentally Disabled Services; Social Worker, Clinical",,,"A CARING HEART CASE MANAGEMENT, INC.",101 W ELIZABETH ST,,Clinton,NC,28328,910-590-3200,910-299-0767,other_practice,2007-01-12,2025-09-17,A,2,https://npiregistry.cms.hhs.gov/provider-view/1447300058
1265240741,"A Caring Heart Case Management, Inc.",,,,,,"Social Worker, Clinical",1041C0700X,"Social Worker, Clinical",,,"A CARING HEART CASE MANAGEMENT, INC.",101 W ELIZABETH ST,,Clinton,NC,28328,910-590-3200,910-299-0767,other_practice,2024-12-30,2024-12-30,A,2,https://npiregistry.cms.hhs.gov/provider-view/1265240741
1447300058,"A Caring Heart Case Management, Inc.",,,,,,"Day Training, Developmentally Disabled Services",251C00000X,"Case Management; Community/Behavioral Health; Day Training, Developmentally Disabled Services; Social Worker, Clinical",,,"A CARING HEART CASE MANAGEMENT, INC.",120 BRYAN ST,,Kenansville,NC,28349,910-372-9185,910-372-9188,other_practice,2007-01-12,2025-09-17,A,2,https://npiregistry.cms.hhs.gov/provider-view/1447300058
1265240741,"A Caring Heart Case Management, Inc.",,,,,,"Social Worker, Clinical",1041C0700X,"Social Worker, Clinical",,,"A CARING HEART CASE MANAGEMENT, INC.",120 BRYAN ST,,Kenansville,NC,28349,910-372-9186,910-372-9186,other_practice,2024-12-30,2024-12-30,A,2,https://npiregistry.cms.hhs.gov/provider-view/1265240741
1447300058,"A Caring Heart Case Management, Inc.",,,,,,"Day Training, Developmentally Disabled Services",251C00000X,"Case Management; Community/Behavioral Health; Day Training, Developmentally Disabled Services; Social Worker, Clinical",,,"A CARING HEART CASE MANAGEMENT, INC.",2541 S 17TH ST,,Wilmington,NC,28401,910-332-3513,910-332-3518,other_practice,2007-01-12,2025-09-17,A,2,https://npiregistry.cms.hhs.gov/provider-view/1447300058
1447300058,"A Caring Heart Case Management, Inc.",,,,,,"Day Training, Developmentally Disabled Services",251C00000X,"Case Management; Community/Behavioral Health; Day Training, Developmentally Disabled Services; Social Worker, Clinical",,,"A CARING HEART CASE MANAGEMENT, INC.",2547 S 17TH ST STE B,,Wilmington,NC,28401,910-769-2333,,other_practice,2007-01-12,2025-09-17,A,2,https://npiregistry.cms.hhs.gov/provider-view/1447300058
1265240741,"A Caring Heart Case Management, Inc.",,,,,,"Social Worker, Clinical",1041C0700X,"Social Worker, Clinical",,,"A CARING HEART CASE MANAGEMENT, INC.",2547 S 17TH ST STE B,,Wilmington,NC,28401,910-769-2333,910-769-4189,other_practice,2024-12-30,2024-12-30,A,2,https://npiregistry.cms.hhs.gov/provider-view/1265240741
1265240741,"A Caring Heart Case Management, Inc.",,,,,,"Social Worker, Clinical",1041C0700X,"Social Worker, Clinical",,,"A CARING HEART CASE MANAGEMENT, INC.",2541 S 17TH ST,,Wilmington,NC,28401,910-332-3513,910-332-3518,other_practice,2024-12-30,2024-12-30,A,2,https://npiregistry.cms.hhs.gov/provider-view/1265240741
1447300058,"A Caring Heart Case Management, Inc.",,,,,,"Day Training, Developmentally Disabled Services",251C00000X,"Case Management; Community/Behavioral Health; Day Training, Developmentally Disabled Services; Social Worker, Clinical",,,"A CARING HEART CASE MANAGEMENT, INC.",4005 OLEANDER DR,,Wilmington,NC,28403,910-399-3941,910-399-1688,other_practice,2007-01-12,2025-09-17,A,7,https://npiregistry.cms.hhs.gov/provider-view/1447300058
1447300058,"A Caring Heart Case Management, Inc.",,,,,,"Day Training, Developmentally Disabled Services",251C00000X,"Case Management; Community/Behavioral Health; Day Training, Developmentally Disabled Services; Social Worker, Clinical",,,"A CARING HEART CASE MANAGEMENT, INC.",2527 DELANEY AVE STE A,,Wilmington,NC,28403,910-339-3203,910-399-2789,other_practice,2007-01-12,2025-09-17,A,2,https://npiregistry.cms.hhs.gov/provider-view/1447300058
1265240741,"A Caring Heart Case Management, Inc.",,,,,,"Social Worker, Clinical",1041C0700X,"Social Worker, Clinical",,,"A CARING HEART CASE MANAGEMENT, INC.",2527 DELANEY AVE STE A,,Wilmington,NC,28403,910-339-3203,910-769-4189,other_practice,2024-12-30,2024-12-30,A,2,https://npiregistry.cms.hhs.gov/provider-view/1265240741
1265240741,"A Caring Heart Case Management, Inc.",,,,,,"Social Worker, Clinical",1041C0700X,"Social Worker, Clinical",,,"A CARING HEART CASE MANAGEMENT, INC.",4005 OLEANDER DR,,Wilmington,NC,28403,910-332-3513,,other_practice,2024-12-30,2024-12-30,A,7,https://npiregistry.cms.hhs.gov/provider-view/1265240741
